KPI_ID,Code,Name,Type,Description,Guidelines,Folder_Tags,Schema,Reporting_Groups,ESG,SDG,Tags,Atlas_KPI_slug
,Personalizado_Social_22,Número de colaboradores al final del periodo con menos de 1 año de antigüedad,NUMBER,Número de colaboradores al final del periodo con menos de 1 año de antigüedad,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_23,Número de colaboradores al final del periodo con entre 1 y 3 años de antigüedad,NUMBER,Número de colaboradores al final del periodo con entre 1 y 3 años de antigüedad,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_24,Número de colaboradores al final del periodo con entre 3 y 5 años de antigüedad,NUMBER,Número de colaboradores al final del periodo con entre 3 y 5 años de antigüedad,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_25,Número de colaboradores al final del periodo con entre 5 y 10 años de antigüedad,NUMBER,Número de colaboradores al final del periodo con entre 5 y 10 años de antigüedad,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_26,Número de colaboradores al final del periodo con entre 10 y 20 años de antigüedad,NUMBER,Número de colaboradores al final del periodo con entre 10 y 20 años de antigüedad,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_27,Número de colaboradores al final del periodo con más de 20 años de antigüedad,NUMBER,Número de colaboradores al final del periodo con más de 20 años de antigüedad,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_28,Nuevas contrataciones hombres,NUMBER,Nuevas contrataciones hombres,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_29,Nuevas contrataciones mujeres,NUMBER,Nuevas contrataciones mujeres,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_30,Horas de capacitación al final del periodo,NUMBER,Horas de capacitación al final del periodo,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_31,Horas de hombres en capacitación al final del periodo,NUMBER,Horas de hombres en capacitación al final del periodo,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_32,Número de participantes en capacitaciones al final del periodo,NUMBER,Número de participantes en capacitaciones al final del periodo,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_33,Número de participantes en capacitaciones de competencias operativas y técnicas al final del periodo,NUMBER,Número de participantes en capacitaciones de competencias operativas y técnicas al final del periodo,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_34,"Número de participantes en capacitaciones de Inocuidad alimentaria al final del periodo
",NUMBER,"Número de participantes en capacitaciones de Inocuidad alimentaria al final del periodo
",,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_35,"Número de participantes en capacitaciones de Sistemas y tecnología al final del periodo
",NUMBER,"Número de participantes en capacitaciones de Sistemas y tecnología al final del periodo
",,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_36,"Número de participantes en capacitaciones de cultura y liderazgo al final del periodo
",NUMBER,"Número de participantes en capacitaciones de cultura y liderazgo al final del periodo
",,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_37,"Número de participantes en capacitaciones de protección infantil (ESCNNA-VT) al final del periodo
",NUMBER,"Número de participantes en capacitaciones de protección infantil (ESCNNA-VT) al final del periodo
",,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_38,"Número de participantes en capacitaciones de sustentabilidad al final del periodo
",NUMBER,"Número de participantes en capacitaciones de sustentabilidad al final del periodo
",,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_39,"Número de participantes en capacitaciones de seguridad e higiene al final del periodo
",NUMBER,"Número de participantes en capacitaciones de seguridad e higiene al final del periodo
",,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_40,"Número de participantes en capacitaciones de servicio y ventas al final del periodo
",NUMBER,"Número de participantes en capacitaciones de servicio y ventas al final del periodo
",,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_41,"Número de participantes en capacitaciones de ética y cumplimiento al final del periodo
",NUMBER,"Número de participantes en capacitaciones de ética y cumplimiento al final del periodo
",,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_42,Número de horas en capacitaciones de competencias operativas y técnicas al final del periodo,NUMBER,Número de horas en capacitaciones de competencias operativas y técnicas al final del periodo,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_43,"Número de horas en capacitaciones de Inocuidad alimentaria al final del periodo
",NUMBER,"Número de horas en capacitaciones de Inocuidad alimentaria al final del periodo
",,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_44,"Número de horas en capacitaciones de Sistemas y tecnología al final del periodo
",NUMBER,"Número de horas en capacitaciones de Sistemas y tecnología al final del periodo
",,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_45,"Número de horas en capacitaciones de cultura y liderazgo al final del periodo
",NUMBER,"Número de horas en capacitaciones de cultura y liderazgo al final del periodo
",,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_46,"Número de horas en capacitaciones de protección infantil (ESCNNA-VT) al final del periodo
",NUMBER,"Número de horas en capacitaciones de protección infantil (ESCNNA-VT) al final del periodo
",,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_47,"Número de horas en capacitaciones de sustentabilidad al final del periodo
",NUMBER,"Número de horas en capacitaciones de sustentabilidad al final del periodo
",,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_48,"Número de horas en capacitaciones de seguridad e higiene al final del periodo
",NUMBER,"Número de horas en capacitaciones de seguridad e higiene al final del periodo
",,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_49,"Número de horas en capacitaciones de servicio y ventas al final del periodo
",NUMBER,"Número de horas en capacitaciones de servicio y ventas al final del periodo
",,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_50,"Número de horas en capacitaciones de ética y cumplimiento al final del periodo
",NUMBER,"Número de horas en capacitaciones de ética y cumplimiento al final del periodo
",,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_51,Número de huéspedes al final del periodo,NUMBER,Número de huéspedes al final del periodo,,Ocupación de cuartos,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
,Personalizado_Social_52,Número de evaluaciones de desempeño realizadas al final del periodo,NUMBER,Número de evaluaciones de desempeño realizadas al final del periodo,,Datos Sociales,"{""type"": ""number"", ""units"": [""integer""]}",,SOCIAL,,,
